cat,Description_1
Category 1,"Unmanned, remotely piloted, powered aerial or ground vehicles "
Category 2,Mine-resistant ambush-protected vehicles or armored personnel carriers 
Category 3,"High mobility multipurpose wheeled vehicles (HMMWV), two-and-one-half-ton trucks, five-ton trucks, or wheeled vehicles that have a breaching or entry apparatus attached "
Category 4,Tracked armored vehicles that provide ballistic protection to their occupants 
Category 5,Command and control vehicles that are either built or modified to facilitate the operational control and direction of public safety units (Category 5).
Category 6,"Weaponized aircraft, vessels, or vehicles of any kind "
Category 7,"Battering rams, slugs, and breaching apparatuses that are explosive in nature "
Category 8,"Firearms and ammunition of .50 caliber or greater, excluding standard-issue shotguns and standard-issue shotgun ammunition "
Category 9,"Specialized firearms and ammunition of less than .50 caliber, including firearms and accessories identified as assault weapons in Penal Code § 30510 and Penal Code §30515, with the exception of standard-issue service weapons "
Category 10,Any firearm or firearm accessory that is designed to launch explosive projectiles 
Category 11,Noise-flash diversionary devices and explosive breaching tools 
Category 12,"Munitions containing tear gas or OC, excluding standard, service-issued handheld pepper spray "
Category 13,"TASER® Shockwave, microwave weapons, water cannons, and long-range acoustic devices "
Category 14,Kinetic energy weapons and munitions 
Category 15,Any other equipment as determined by a governing body or a state agency to require additional oversight 